domain,hasStreaming,hasAds,error
twitch.tv,true,false,
forbes.com,false,true,
vimeo.com,false,false,Navigation timeout of 30000 ms exceeded
rottentomatoes.com,false,true,
techcrunch.com,false,true,
netflix.com,true,true,
nonexistentdomain12345.com,false,false,net::ERR_NAME_NOT_RESOLVED at https://nonexistentdomain12345.com
youtube.com,true,true,
hulu.com,true,true,
imdb.com,false,false,
metacritic.com,true,true,
primevideo.com,true,false,
disneyplus.com,true,false,
hbomax.com,true,false,
peacocktv.com,true,false,
crunchyroll.com,false,true,
funimation.com,false,false,
dailymotion.com,false,true,
variety.com,false,true,
deadline.com,false,true,
paramountplus.com,false,false,Navigation timeout of 30000 ms exceeded
discoveryplus.com,false,false,
appletv.com,false,false,
pluto.tv,false,false,
tubi.tv,false,false,
vudu.com,false,false,
shudder.com,false,false,
mubi.com,false,false,
criterion.com,true,true,
amc.com,false,true,
starz.com,false,false,
showtime.com,false,false,
fxnetworks.com,false,false,
adultswim.com,false,false,
nick.com,false,true,
cartoonnetwork.com,true,true,
pbs.org,false,true,
britbox.com,false,false,
acorn.tv,false,false,
curiositystream.com,false,true,
crackle.com,false,false,net::ERR_CERT_COMMON_NAME_INVALID at https://crackle.com
fubo.tv,false,false,
sling.com,false,false,
philo.com,false,true,
directv.com,false,false,Navigation timeout of 30000 ms exceeded
espn.com,false,true,
mlb.tv,false,false,
nba.com,false,true,
nfl.com,false,true,
ufc.com,true,true,
wikihow.com,false,true,
w3schools.com,false,false,
weather.gov,false,false,
sourceforge.net,false,false,
archive.org,false,false,
genius.com,false,true,
speedtest.net,false,true,
dictionary.com,true,true,
thesaurus.com,true,true,
reference.com,false,true,
